vfid,RA,DEC,vr,radius,objname
VFID0213,185.55302,65.715935,2530.5,15.139839,PGC2679996
VFID0214,137.9743,65.71097,2738.1,11.698259,SDSSJ091153.82+654239.4
VFID0215,163.32658,65.70263,3278.3,29.452438,UGC05992
VFID0216,162.83589,65.68187,3224.9,12.738587,SDSSJ105120.69+654054.5
VFID0217,198.23041,65.635376,1585,10.165324,PGC2679292
VFID0218,171.82356,65.60113,1234.4,9.865549,PGC3139974
VFID0219,182.39871,65.5951,1121.1,42.565586,SDSSJ120935.64+653541.4
VFID0220,185.86823,65.55672,2779.1,10.354312,SDSSJ122328.31+653324.0
VFID0221,160.2441,65.5152,3245.7,9.486833,PGC3139929
VFID0222,108.8631,65.4417,2479,27.297398,UGC03748
VFID0223,245.71169,65.4377,3246,35.491245,UGC10376
VFID0224,164.01787,65.41525,1711.9,11.888341,SDSSJ105604.27+652454.9
VFID0225,181.85814,65.41255,1427.3,31.413857,UGC07110
VFID0226,245.24118,65.39017,907.4,62.678883,NGC6140
VFID0227,206.46648,65.386024,1702.8,22.600666,PGC095619
VFID0228,139.39989,65.37646,1675.2,16.549324,SDSSJ091735.97+652235.3
VFID0229,155.4561,65.37028,3169.6,14.096824,SDSSJ102149.48+652212.5
VFID0230,168.05934,65.22546,1066.4,26.799164,UGC06237
VFID0231,155.73347,65.200836,3267.2,9.101673,PGC2675385
VFID0232,183.10146,65.1742,1279.5,23.341097,SDSSJ121224.37+651027.0
VFID0233,182.02487,65.17418,1389,176.24681,NGC4125
VFID0234,155.18057,65.1721,3289,36.151077,UGC05576
VFID0235,183.09868,65.121574,1330.5,13.555678,SDSSJ121223.65+650717.8
VFID0236,181.98601,65.11399,1416.1,15.45686,NGC4121
VFID0237,158.14523,65.04109,1678.5,51.53725,NGC3259
VFID0238,186.32816,64.93352,1320.3,37.50777,NGC4391
VFID0239,227.65923,64.89862,2244.4,18.49785,UGC09764
VFID0240,158.08717,64.86819,1728.9,8.262686,PGC2672385
VFID0241,170.33626,64.85961,2865.9,8.224723,PGC3139579
VFID0242,186.83484,64.80154,2663.1,123.91425,NGC4441
VFID0243,163.28006,64.7953,1102.9,15.035617,PGC2671709
VFID0244,182.55228,64.76059,1350.4,32.293957,PGC038717
VFID0245,158.32338,64.749374,1738.1,41.794704,NGC3266
VFID0246,148.88097,64.71397,965.7,19.099077,SDSSJ095531.42+644250.4
VFID0247,186.1473,64.70967,1406,13.555678,PGC2670839
VFID0248,163.52248,64.70808,1791.4,19.509846,SDSSJ105405.39+644229.2
VFID0249,158.41502,64.688095,1845.8,15.492491,SDSSJ103339.60+644116.8
VFID0250,153.85823,64.63562,1650,11.806502,SDSSJ101525.94+643808.1
VFID0251,191.50366,64.56937,2301.7,59.30909,UGC07941
VFID0252,188.52586,64.56741,2783,34.524014,UGC07730
VFID0253,246.18013,64.5117,2764.7,28.914871,UGC10383
VFID0254,158.34506,64.501625,3241.2,39.095005,UGC05727
VFID0255,147.65044,64.488106,3075,33.583138,UGC05260
VFID0256,158.73276,64.47592,1828.2,9.820221,SDSSJ103455.82+642833.6
VFID0257,183.69765,64.45863,2593.6,12.534911,PGC039123
VFID0258,195.14545,64.44712,2089.3,20.99526,PGC044782
VFID0259,181.13991,64.43745,1495.5,42.768227,NGC4081
VFID0260,187.51903,64.41871,2606.3,8.914998,PGC2667884
VFID0261,181.97314,64.38995,1387,10.283033,SDSSJ120753.55+642323.6
VFID0262,180.65445,64.376465,1501,35.984978,UGC07020A
VFID0263,207.97328,64.37284,1765.5,19.503891,PGC049221
VFID0264,240.61626,64.35342,1594,23.829847,PGC056796
VFID0265,179.0295,64.35073,1410.4,21.140793,PGC2667196
VFID0266,177.65883,64.35037,3053.1,27.486614,UGC06814
VFID0267,177.75952,64.32712,3052.8,13.035307,PGC213887
VFID0268,188.23154,64.30779,2774.1,21.140793,PGC041616
VFID0269,155.45404,64.29979,525.1,17.38286,SDSSJ102148.93+641759.9
VFID0270,159.50677,64.26636,1680.4,15.853357,UGC05776
VFID0271,251.23355,64.26501,2863.5,7.675758,PGC3139142
VFID0272,180.93474,64.25803,2927.7,11.223318,PGC2666155
VFID0273,140.44104,64.25789,1574,112.4919,NGC2820
VFID0274,157.86172,64.25705,1716.6,10.498355,PGC2666144
VFID0275,140.29785,64.25236,1595.5,31.413857,NGC2814
VFID0276,140.37532,64.23866,1442.6,14.22726,NGC2820A
VFID0277,187.9467,64.23377,2732,43.764427,NGC4510
VFID0278,147.20016,64.16763,3014.4,45.19821,UGC05244
VFID0279,171.92899,64.16705,2348.6,9.596685,PGC3139056
VFID0280,187.20218,64.15914,2462.7,15.385841,PGC2665088
VFID0281,171.71033,64.13815,983.7,51.41872,UGC06448
VFID0282,192.2753,64.13216,2266.3,13.6811075,PGC2664790
VFID0283,237.86694,64.12585,923.8,29.048336,PGC056228
VFID0284,154.87831,64.11901,1764.4,10.095347,SDSSJ101930.79+640708.4
VFID0285,140.0849,64.10297,1733,101.653244,NGC2805
VFID0286,188.62073,64.09887,2367.9,8.2817335,SDSSJ123428.98+640555.8
VFID0287,184.95793,64.09014,1353.3,9.574614,PGC2664300
VFID0288,140.08109,64.080635,1720.7949,120.7985,
VFID0289,170.67387,64.06666,1009.5,49.217693,UGC06390
VFID0290,187.976,64.04315,2854.3,9.228291,SDSSJ123154.23+640235.2
