t1_vfid,t1_ra,t1_dec,t1_vr,t1_radius,t1_objname,flux_g,flux_r,flux_w1,flux_w2,flux_w3,flux_w4,flux_z,dist_arcsec
VFID0176,181.94847,67.38378,2325.7,19.593916,PGC038504,2529.52,4835.38,5605.05,3254.07,10209.8,52405.8,7373.6,0.0956809210516023
VFID0176,181.94847,67.38378,2325.7,19.593916,PGC038504,0,0,0,0,0,0,0,0.119190647899842
VFID0176,181.94847,67.38378,2325.7,19.593916,PGC038504,0,0,0,0,0,0,0,0.119190647899842
VFID0178,245.46024,67.293076,1001,31.558857,UGC10369,684.06,1082.37,737.174,387.143,451.857,605.35,1483.94,0.629396056956264
VFID0179,181.45699,67.25206,2266.7,38.38144,NGC4108A,2185.5,3375.53,2560.63,1514.89,5262.13,7180.34,4488.24,0.317884616567633
VFID0179,181.45699,67.25206,2266.7,38.38144,NGC4108A,0,0,0,0,0,0,0,0.0869947897052062
VFID0180,180.34554,67.2454,2268.9,9.059855,PGC2697093,76.1957,113.683,72.6319,41.2249,36.0048,406.344,139.762,0.924290586711517
VFID0181,170.05156,67.24163,1302.2,37.421505,NGC3622,4060.51,6091.71,4792,2972.62,13210.4,29168.5,8027.11,0.611593548453829
VFID0182,181.79819,67.23524,2671.2,39.91363,NGC4108B,2160.96,2993.96,1837.05,1109.22,5889.33,7867.55,3529.56,0.216123391269855
VFID0185,181.3248,66.959816,2552.4,12.915798,PGC2693220,609.031,945.794,645.06,366.747,748.896,563.489,1232.92,0.525597117049512
VFID0188,171.92165,66.58981,1522.6,67.007164,NGC3682,9239.12,18563.4,27506.4,17072.2,96671.6,163286,29015.8,0.759344890733304
VFID0188,171.92165,66.58981,1522.6,67.007164,NGC3682,0,0,0,0,0,0,0,0.0648315563715104
VFID0188,171.92165,66.58981,1522.6,67.007164,NGC3682,0,0,0,0,0,0,0,0.0648315563715104
VFID0189,191.68419,66.465836,1446.5,7.432266,PGC2687514,48.8745,65.7641,32.8791,13.6595,76.1231,-473.637,80.9798,0.416593642979488
VFID0190,188.00632,66.33261,2285.7,61.67672,NGC4513,0,0,0,0,0,0,0,0.118910613147591
VFID0190,188.00632,66.33261,2285.7,61.67672,NGC4513,0,0,0,0,0,0,0,0.118910613147591
VFID0190,188.00632,66.33261,2285.7,61.67672,NGC4513,4003.31,8149.62,9917.51,5305.2,1753.22,1347.62,13361.2,0.127102359012227
VFID0192,204.01085,66.30252,3073.2,31.631607,UGC08604,2850.66,4601.89,2730.56,1572.36,4181.19,4723.07,6103.71,0.236671473100911
VFID0193,142.8727,66.27465,870.64465,72.2668,,299.353,492.166,324.054,147.46,93.4184,1106.18,671.829,0.598735816512241
VFID0194,183.9995,66.230835,1315,55.478058,NGC4221,10076.7,20891.2,21144.6,11368.7,4896.87,3859.01,33558.7,0.0842466991665276
VFID0194,183.9995,66.230835,1315,55.478058,NGC4221,0,0,0,0,0,0,0,0.105985506969312
VFID0195,141.46553,66.16902,1691.1,25.069723,SDSSJ092551.72+661008.5,148.055,258.085,177.247,104.828,102.043,-746.937,356.431,0.196066383653975
VFID0196,183.89235,66.13287,2742.1,14.392003,SDSSJ121534.18+660758.2,147.689,259.114,161.255,83.803,93.6359,821.774,348.635,0.208580695496395
VFID0197,141.50618,66.129845,1245.9762,8.284407,,36.2706,61.6641,40.1196,23.1773,-37.1639,-249.908,82.5746,0.116980255409943
VFID0198,189.00955,66.10498,2260.2,16.000048,PGC2683704,228.97,353.45,243.563,135.692,178.853,-870.269,453.735,0.164063463119659
VFID0199,162.24304,66.09463,3283.9,42.278664,UGC05907,444.125,737.568,451.882,234.487,470.428,-993.38,917.914,0.376330352844348
VFID0201,185.8609,65.985374,2497.7,15.744224,PGC2682517,243.27,392.333,239.296,121.111,138.821,-51.4306,514.745,0.119424348362429
VFID0202,183.81601,65.98535,2711.1,58.09266,NGC4210,0,0,0,0,0,0,0,0.17357243240072
VFID0202,183.81601,65.98535,2711.1,58.09266,NGC4210,6875,12699.4,9711.47,5563.61,19138.2,22477.9,19924.6,0.145852095870117
VFID0203,184.41673,65.97879,2282.8,12.1933,PGC2682454,388.433,682.284,537.804,302.744,798.416,1783.81,944.057,0.34208071653783
VFID0203,184.41673,65.97879,2282.8,12.1933,PGC2682454,0,0,0,0,0,0,0,0.275106488790053
VFID0205,177.4196,65.92903,1468.9,27.631245,SDSSJ114940.70+655544.6,123.537,208.717,121.383,60.6614,87.525,945.048,272.019,0.380897340183187
